Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
Id;Waktu;Ketinggian;Temperatur;Kelembapan Relatif;Tekanan;Arah Angin;Kecepatan Angin;Lintang;Bujur
MAHESWARA_KOMBAT2019;06:16:09;0.0;24.2;77.1;1014.0;0.0;0.0;-7.643374;107.685532
MAHESWARA_KOMBAT2019;06:16:10;0.0;24.2;77.1;1014.0;0.0;0.05;-7.643374;107.685532
MAHESWARA_KOMBAT2019;06:16:11;0.0;24.2;76.6;1014.0;0.0;0.0;-7.643374;107.685532
MAHESWARA_KOMBAT2019;06:16:12;0.0;24.2;77.1;1014.0;0.0;0.05;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:13;0.0;24.2;77.0;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:14;0.0;24.2;77.2;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:15;0.0;24.2;77.0;1014.0;0.0;0.05;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:16;0.0;24.2;77.0;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:17;0.0;24.2;77.5;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:18;0.0;24.2;76.9;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:19;0.0;24.2;77.0;1014.0;0.0;0.05;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:20;0.0;24.2;76.9;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:21;0.0;24.2;77.3;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:22;0.0;24.2;77.0;1014.0;180.0;0.05;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:23;0.0;24.2;77.1;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:24;0.0;24.2;76.9;1014.1;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:25;0.0;24.2;77.0;1014.1;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:26;0.0;24.2;77.2;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:27;0.0;24.2;77.1;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:28;0.0;24.2;76.8;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:29;0.0;24.2;77.0;1014.1;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:30;0.0;24.2;77.5;1014.1;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:31;0.0;24.2;76.9;1014.1;0.0;0.05;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:32;0.0;24.2;77.0;1014.1;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:33;0.0;24.2;76.8;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:34;0.0;24.2;77.4;1014.0;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:16:35;0.0;24.2;77.0;1014.1;0.0;0.0;-7.643373;107.685532
MAHESWARA_KOMBAT2019;06:17:03;0.0;24.2;76.9;1014.1;0.0;0.0;-7.643372;107.685532
MAHESWARA_KOMBAT2019;06:17:04;0.0;24.2;77.0;1014.1;0.0;0.0;-7.643372;107.685532
MAHESWARA_KOMBAT2019;06:17:05;0.0;24.2;77.1;1014.1;0.0;0.05;-7.643372;107.685532
MAHESWARA_KOMBAT2019;06:17:06;0.0;24.2;76.9;1014.0;0.0;0.0;-7.643372;107.685532
MAHESWARA_KOMBAT2019;06:17:07;0.0;24.2;76.9;1014.0;90.0;0.84;-7.643372;107.685539
MAHESWARA_KOMBAT2019;06:17:08;0.0;24.2;77.2;1014.1;0.0;0.05;-7.643371;107.685539
